Score,Country
7.97,Canada
7.85,Canada
8.6,Canada
8.5,Canada
8.62,Canada
8.67,Canada
8.32,Canada
8.62,Canada
8.18,Canada
8.51,Canada
8.77,Canada
8.51,Canada
8.25,Canada
8.01,Canada
8.55,Canada
7.79,Canada
8.56,Canada
8.11,Canada
8.38,Canada
8.53,Canada
8.78,Canada
8.75,Canada
7.93,Canada
8.61,Canada
8.43,Canada
8.46,Canada
7.57,Canada
7.99,Canada
8.34,Ireland
8.46,Ireland
8.73,Ireland
8.74,Ireland
8.85,Ireland
8.3,Ireland
8,Ireland
7.72,Ireland
8.49,Ireland
7.89,Ireland
8.32,Ireland
8.13,Ireland
8.2,Ireland
8.49,Ireland
8.46,Ireland
7.98,Ireland
8.24,Ireland
8.38,Ireland
8.14,Ireland
8.32,Ireland
8.04,Ireland
8.69,Ireland
7.83,Ireland
8.03,Ireland
7.97,Ireland
7.68,Ireland
8.04,Ireland
8.57,Ireland
8.49,Ireland
8.37,Ireland
8.74,Japan
8.04,Japan
8.52,Japan
8.83,Japan
8.66,Japan
8.01,Japan
8.67,Japan
8.53,Japan
8.36,Japan
8.56,Japan
8.4,Japan
8.57,Japan
8.19,Japan
8.22,Japan
7.6,Japan
8.75,Japan
8.59,Japan
8.39,Japan
8.55,Japan
7.69,Japan
8.41,Japan
8.45,Japan
6.68,Japan
8.44,Japan
8.26,Japan
8.46,Scotland
8.58,Scotland
8.92,Scotland
8.52,Scotland
9,Scotland
8.21,Scotland
8.02,Scotland
8.54,Scotland
8.63,Scotland
8.61,Scotland
8.1,Scotland
8.66,Scotland
8.94,Scotland
8.7,Scotland
8.42,Scotland
8.65,Scotland
8.43,Scotland
8.3,Scotland
8.55,Scotland
8.26,Scotland
8.98,Scotland
8.44,Scotland
9.12,Scotland
8.77,Scotland
8.87,Scotland
8.86,USA
8.68,USA
8.74,USA
8.72,USA
8.23,USA
8.51,USA
8.07,USA
8.52,USA
8.63,USA
7.92,USA
8.62,USA
8.06,USA
8.71,USA
8.78,USA
8.24,USA
8.49,USA
8.9,USA
8.74,USA
8.54,USA
8.56,USA
8.38,USA
8.47,USA
8.53,USA
